Quarter,Revenue,EBITDA,Net_Profit,MoD_Disbursement_Lag,Working_Capital_Days,Indigenous_Sourcing_Mix,PLI_Subsidy_Receipts,SaaS_Attach_Rate
Q1 FY24,68.5,13.2,6.8,45,210,0.45,0.0,0.12
Q2 FY24,48.2,7.8,3.1,60,225,0.46,4.2,0.14
Q3 FY24,90.1,16.5,8.9,90,260,0.48,0.0,0.15
Q4 FY24,142.4,34.2,21.4,110,290,0.5,8.5,0.17
Q1 FY25,75.1,12.8,5.2,40,205,0.52,0.0,0.2
Q2 FY25,56.4,8.4,3.5,50,215,0.54,5.0,0.22
Q3 FY25,98.6,18.2,9.8,75,245,0.55,0.0,0.23
Q4 FY25,161.2,38.6,23.1,95,275,0.58,10.2,0.25
Q1 FY26,85.3,15.1,8.2,30,195,0.6,2.5,0.28
Q2 FY26,71.2,11.5,5.4,45,208,0.61,6.0,0.3
Q3 FY26,121.8,22.1,12.6,60,228,0.62,0.0,0.32
Q4 FY26,202.4,48.5,30.1,80,248,0.65,12.0,0.35
